"quiz_question_id","quiz_id","question_id","question_order","params"
"418","22915","23644","12",NULL
"419","22916","23708","1",NULL
"420","22916","23712","2",NULL
"421","22916","23715","3",NULL
"422","22916","23717","4",NULL
"423","22916","23719","5",NULL
"424","22916","23721","6",NULL
"425","22916","23724","7",NULL
"426","22916","23726","9",NULL
"427","22916","23732","11",NULL
"428","22916","23730","10",NULL
"429","22916","23734","8",NULL
"430","23602","23061","1",NULL
"431","23602","23064","2",NULL
"432","23602","23067","3",NULL
"433","23602","23071","4",NULL
"434","23602","23077","5",NULL
"435","23602","23085","6",NULL
"436","23602","23088","7",NULL
"437","23602","23091","9",NULL
"438","23602","23093","10",NULL
"439","23602","23097","11",NULL
"440","23602","23741","8",NULL
"452","22900","23865","2",NULL
"453","22900","23868","3",NULL
"454","22900","23872","4",NULL
"455","22900","23888","5",NULL
"456","22900","23885","6",NULL
"457","22900","23882","7",NULL
"458","22900","23879","8",NULL
"459","22900","23875","9",NULL
"460","22898","23894","1",NULL
"461","22898","23897","2",NULL
"462","22898","23899","3",NULL
"463","22898","23902","4",NULL
"464","22898","23905","5",NULL
"465","22898","23907","6",NULL
"466","22898","23910","7",NULL
"467","22898","23912","8",NULL
"468","22898","23916","9",NULL
"469","22898","23914","10",NULL
"470","22898","23918","11",NULL
"471","22898","23922","12",NULL
"472","22898","23932","13",NULL
"473","22898","23930","14",NULL
"474","22898","23928","15",NULL
"475","22898","23926","16",NULL
"476","22898","23924","17",NULL
